=================================================================
  Pythagorean Quadruples + Magic Square Solver (v3, exhaustive)
  d_max=10000,  min_triples=1
=================================================================

Distinct d values : 9963
Total triples     : 5595355

Running exhaustive search...
-----------------------------------------------------------------
  [1/9963] d=7  (1 triples)... score=1/8
  [2/9963] d=9  (1 triples)... score=1/8
  [3/9963] d=11  (1 triples)... score=1/8
  [4/9963] d=13  (1 triples)... score=1/8
  [5/9963] d=14  (1 triples)... score=1/8
  [6/9963] d=15  (2 triples)... score=2/8
  [7/9963] d=17  (1 triples)... score=1/8
  [8/9963] d=18  (1 triples)... score=1/8
  [9/9963] d=19  (2 triples)... score=2/8
  [10/9963] d=21  (5 triples)... score=4/8
  [11/9963] d=22  (1 triples)... score=1/8
  [12/9963] d=23  (3 triples)... score=3/8
  [13/9963] d=25  (2 triples)... score=2/8
  [14/9963] d=26  (1 triples)... score=1/8
  [15/9963] d=27  (5 triples)... score=4/8
  [16/9963] d=28  (1 triples)... score=1/8
  [17/9963] d=29  (3 triples)... score=3/8
  [18/9963] d=30  (2 triples)... score=2/8
  [19/9963] d=31  (4 triples)... score=4/8
  [20/9963] d=33  (6 triples)... score=3/8
  [21/9963] d=34  (1 triples)... score=1/8
  [22/9963] d=35  (5 triples)... score=4/8
  [23/9963] d=36  (1 triples)... score=1/8
  [24/9963] d=37  (4 triples)... score=3/8
  [25/9963] d=38  (2 triples)... score=2/8
  [26/9963] d=39  (7 triples)... score=4/8
  [27/9963] d=41  (4 triples)... score=4/8
  [28/9963] d=42  (5 triples)... score=4/8
  [29/9963] d=43  (5 triples)... score=4/8
  [30/9963] d=44  (1 triples)... score=1/8
  [31/9963] d=45  (9 triples)... score=4/8
  [32/9963] d=46  (3 triples)... score=3/8
  [33/9963] d=47  (6 triples)... score=5/8
  [34/9963] d=49  (8 triples)... score=4/8
  [35/9963] d=50  (2 triples)... score=2/8
  [36/9963] d=51  (8 triples)... score=4/8
  [37/9963] d=52  (1 triples)... score=1/8
  [38/9963] d=53  (6 triples)... score=4/8
  [39/9963] d=54  (5 triples)... score=4/8
  [40/9963] d=55  (7 triples)... score=4/8
  [41/9963] d=56  (1 triples)... score=1/8
  [42/9963] d=57  (11 triples)... score=6/8
  [43/9963] d=58  (3 triples)... score=3/8
  [44/9963] d=59  (7 triples)... score=4/8
  [45/9963] d=60  (2 triples)... score=2/8
  [46/9963] d=61  (7 triples)... score=4/8
  [47/9963] d=62  (4 triples)... score=4/8
  [48/9963] d=63  (18 triples)... score=6/8
  [49/9963] d=65  (6 triples)... score=4/8
  [50/9963] d=66  (6 triples)... score=3/8
  [51/9963] d=67  (8 triples)... score=4/8
  [52/9963] d=68  (1 triples)... score=1/8
  [53/9963] d=69  (15 triples)... score=5/8
  [54/9963] d=70  (5 triples)... score=4/8
  [55/9963] d=71  (9 triples)... score=6/8
  [56/9963] d=72  (1 triples)... score=1/8
  [57/9963] d=73  (8 triples)... score=4/8
  [58/9963] d=74  (4 triples)... score=3/8
  [59/9963] d=75  (14 triples)... score=5/8
  [60/9963] d=76  (2 triples)... score=2/8
  [61/9963] d=77  (14 triples)... score=4/8
  [62/9963] d=78  (7 triples)... score=4/8
